Attribute,Level,Utility,SE,Lower95,Upper95
Neto plača (razlika od trenutne plače),-10%,-88.95985463720359,7.143035000825396,-103.4459296188775,-74.47377965552968
Neto plača (razlika od trenutne plače),0,-9.247884306797424,4.43739099857323,-18.246913251903933,-0.2488553616909126
Neto plača (razlika od trenutne plače),+10%,20.05162614888579,2.9341428999718975,14.101184347742784,26.0020679500288
Neto plača (razlika od trenutne plače),+20%,78.15611279511523,9.131664561327119,59.63709706474384,96.67512852548663
Bonus (letno nagrajevanje),0%,-40.0931140728226,2.5430830357153207,-45.250486469253275,-34.93574167639193
Bonus (letno nagrajevanje),5%,5.809958795254469,2.8142290629532636,0.10270225558525059,11.517215334923687
Bonus (letno nagrajevanje),10%,5.194890329158094,2.7715401057969093,-0.4257930053980381,10.815573663714225
Bonus (letno nagrajevanje),15%,29.08826494841003,2.935782347035975,23.134498348621072,35.042031548198985
Delo od doma/na daljavo (tedensko),0 dni,-83.62970628915917,8.4066239933148,-100.6783397476016,-66.58107283071675
Delo od doma/na daljavo (tedensko),1 dan,-16.25667052521969,2.3846755178151633,-21.09279247534884,-11.420548575090539
Delo od doma/na daljavo (tedensko),2 dni,39.70911597077472,4.520487430097062,30.541567462537877,48.87666447901156
Delo od doma/na daljavo (tedensko),3 dni,60.177260843604095,5.794001718772026,48.427025357934426,71.92749632927377
Dopust,22 dni,-85.1758306878665,6.452068947411882,-98.26062651321779,-72.0910348625152
Dopust,25 dni,-12.183625997668173,3.4501449113513023,-19.180519877888614,-5.186732117447732
Dopust,28 dni,35.5796764719329,3.7459807043759104,27.982827603458553,43.176525340407245
Dopust,30 dni,61.779780213601775,3.0378969275893257,55.61892524445062,67.94063518275293
Fleksibilni delavnik,fiksen,-33.61306553164785,3.6051984155776444,-40.924407918439314,-26.301723144856386
Fleksibilni delavnik,+/- 2uri,9.922450434821208,2.7502426806372173,4.344958278488931,15.499942591153484
Fleksibilni delavnik,fleksibilno razporejanje,23.690615096826658,3.8297328139990316,15.923916950036622,31.457313243616696
Vlaganje v razvoj,osnovno,2.2595827344117962,2.1064000606154947,-2.012196588516427,6.5313620573400195
Vlaganje v razvoj,mentorstvo + interna izobraževanja,0.5124666273878058,2.2686248643011075,-4.08830459741484,5.113237852190451
Vlaganje v razvoj,1500 EUR na leto za razvoj po izbiri,-1.0774132415094244,3.250046145453991,-7.668506824490118,5.51368034147127
Vlaganje v razvoj,1500 EUR + 5 dni za razvoj po izbiri,-1.6946361202901783,3.1810701031905473,-8.145846289560609,4.7565740489802515
Wellbeing in zdravje,brez,-4.774235742501643,2.917671370131872,-10.69127328112908,1.1428017961257932
Wellbeing in zdravje,wellbeing budget,-0.14544437519089864,3.7951095682523905,-7.8419265796067466,7.55103782922495
Wellbeing in zdravje,specialisti + psihološka podpora,1.2354155528738933,2.547912511047194,-3.931751019529816,6.402582125277602
Wellbeing in zdravje,razširjeni paket + wellbeing dnevi,3.6842645648186507,2.3386538442049805,-1.0585254312290497,8.42705456086635
